{'topK': 180, 'alpha': 0.37856296613742724}
topK,alpha,result
191.0,0.399272368410311,0.1424888202238305
178.0,0.3866296810665301,0.14280183658876527
195.0,0.36902912852054653,0.14258323274671764
186.0,0.4196584009709519,0.14215271017908918
181.0,0.43049113638732084,0.14126797572740107
189.0,0.3755429334859463,0.1425529853443823
174.0,0.39036756710275616,0.14205401929065986
183.0,0.40079959384096514,0.14267118210490698
198.0,0.3838557878209307,0.1424984236762762
130.0,0.3640167031621842,0.14163091931897373
178.0,0.40909609023728605,0.1416077738425723
187.0,0.3756517133601289,0.1426667321657715
182.0,0.49023090641039146,0.1405442013204882
194.0,0.31581623643996964,0.14192740345706525
185.0,0.3062264348255821,0.14172810500943228
189.0,0.39433752643461817,0.1427669687835929
148.0,0.3852869988083996,0.14146227960414628
172.0,0.3686285748438021,0.14183404886783055
117.0,0.35540336370837927,0.1405587739200199
180.0,0.3953395228916483,0.14265330544310473
176.0,0.29091538946724316,0.14176621174826878
193.0,0.46433501706934366,0.14194677570291536
185.0,0.3810900302956813,0.14270043300099788
182.0,0.21335476051144406,0.14090093558667927
189.0,0.40161647305478754,0.14250032979025895
166.0,0.3723619491759928,0.141480922822552
179.0,0.5097150420585624,0.1404889421971093
175.0,0.38895689267178873,0.14203896980667835
186.0,0.38089327358867364,0.142798344426552
192.0,0.4135534470447066,0.1426921049174735
141.0,0.3648388395296981,0.14084301977315403
182.0,0.40459374468146186,0.1426977239250396
199.0,0.3459001647891891,0.14200929774596924
189.0,0.3896151347773319,0.142828942407109
178.0,0.5234301715717437,0.14063815988146222
170.0,0.3751955406023868,0.1419684764867475
185.0,0.39789513516374536,0.1426760776092778
182.0,0.3601460269395319,0.142526592603012
195.0,0.3834668591217886,0.14269791226733652
174.0,0.5218372459118206,0.14102002106177514
191.0,0.37247626646724674,0.14285191659278854
186.0,0.3914155289914732,0.14275694747478332
178.0,0.38015817427569576,0.14268615638438198
182.0,0.33559206567991334,0.14214569234298421
187.0,0.42424711731396725,0.1421052700809405
180.0,0.36660380425952765,0.1427659665731787
